category,name,slug,image_url,features,overview,technical_info,regular_price,sale_price,is_active,sku_title,sku_id,sku_quantity,sku_shipping_status,sku_weight
Medical Equipment,Compact Cylinder X-001,compact-cylinder-x-001,https://images.unsplash.com/photo-1550624559-4bae04422ddc?auto=format&fit=crop&q=80&w=800,"Fast delivery
Quality certified
Warranty 1 year",This Compact Cylinder X-001 is designed for high performance in medical equipment applications.,"Model: JKR-001
Power: 220V
Material: High Grade",4902,4166.7,TRUE,Standard,JKR-001-SKU,487,available,1.5
Home Care,Digital Scanner X-002,digital-scanner-x-002,https://images.unsplash.com/photo-1631549916768-4119cb21fa04?auto=format&fit=crop&q=80&w=800,"Fast delivery
Quality certified
Warranty 1 year",This Digital Scanner X-002 is designed for high performance in home care applications.,"Model: JKR-002
Power: 220V
Material: High Grade",3052,2594.2,TRUE,Standard,JKR-002-SKU,216,available,1.5
Surgical Supplies,Advanced Scanner X-003,advanced-scanner-x-003,https://images.unsplash.com/photo-1516549655169-df83a0774514?auto=format&fit=crop&q=80&w=800,"Fast delivery
Quality certified
Warranty 1 year",This Advanced Scanner X-003 is designed for high performance in surgical supplies applications.,"Model: JKR-003
Power: 220V
Material: High Grade",2875,2443.75,TRUE,Standard,JKR-003-SKU,486,available,1.5
Laboratory,Portable Ventilator X-004,portable-ventilator-x-004,https://images.unsplash.com/photo-1631815541542-e5510659359e?auto=format&fit=crop&q=80&w=800,"Fast delivery
Quality certified
Warranty 1 year",This Portable Ventilator X-004 is designed for high performance in laboratory applications.,"Model: JKR-004
Power: 220V
Material: High Grade",2371,2015.35,TRUE,Standard,JKR-004-SKU,436,available,1.5
Medical Equipment,Automatic Meter X-005,automatic-meter-x-005,https://images.unsplash.com/photo-1550624559-4bae04422ddc?auto=format&fit=crop&q=80&w=800,"Fast delivery
Quality certified
Warranty 1 year",This Automatic Meter X-005 is designed for high performance in medical equipment applications.,"Model: JKR-005
Power: 220V
Material: High Grade",567,481.95,TRUE,Standard,JKR-005-SKU,274,available,1.5
Laboratory,Premium Gloves X-006,premium-gloves-x-006,https://images.unsplash.com/photo-1581594693702-fbdc51b2ad46?auto=format&fit=crop&q=80&w=800,"Fast delivery
Quality certified
Warranty 1 year",This Premium Gloves X-006 is designed for high performance in laboratory applications.,"Model: JKR-006
Power: 220V
Material: High Grade",2334,1983.9,TRUE,Standard,JKR-006-SKU,42,available,1.5
Home Care,Digital Scanner X-007,digital-scanner-x-007,https://images.unsplash.com/photo-1584308666744-24d5c474f2ae?auto=format&fit=crop&q=80&w=800,"Fast delivery
Quality certified
Warranty 1 year",This Digital Scanner X-007 is designed for high performance in home care applications.,"Model: JKR-007
Power: 220V
Material: High Grade",648,550.8,TRUE,Standard,JKR-007-SKU,32,available,1.5
Consumables,Compact Cylinder X-008,compact-cylinder-x-008,https://images.unsplash.com/photo-1631549916768-4119cb21fa04?auto=format&fit=crop&q=80&w=800,"Fast delivery
Quality certified
Warranty 1 year",This Compact Cylinder X-008 is designed for high performance in consumables applications.,"Model: JKR-008
Power: 220V
Material: High Grade",4738,4027.3,TRUE,Standard,JKR-008-SKU,483,available,1.5
Laboratory,Automatic Pump X-009,automatic-pump-x-009,https://images.unsplash.com/photo-1581594693702-fbdc51b2ad46?auto=format&fit=crop&q=80&w=800,"Fast delivery
Quality certified
Warranty 1 year",This Automatic Pump X-009 is designed for high performance in laboratory applications.,"Model: JKR-009
Power: 220V
Material: High Grade",1827,1552.95,TRUE,Standard,JKR-009-SKU,456,available,1.5
Surgical Supplies,Industrial Cylinder X-010,industrial-cylinder-x-010,https://images.unsplash.com/photo-1584036561566-baf8f5f1b144?auto=format&fit=crop&q=80&w=800,"Fast delivery
Quality certified
Warranty 1 year",This Industrial Cylinder X-010 is designed for high performance in surgical supplies applications.,"Model: JKR-010
Power: 220V
Material: High Grade",1843,1566.55,TRUE,Standard,JKR-010-SKU,364,available,1.5
Consumables,Premium Pump X-011,premium-pump-x-011,https://images.unsplash.com/photo-1612349317150-e413f289d05e?auto=format&fit=crop&q=80&w=800,"Fast delivery
Quality certified
Warranty 1 year",This Premium Pump X-011 is designed for high performance in consumables applications.,"Model: JKR-011
Power: 220V
Material: High Grade",4320,3672.0,TRUE,Standard,JKR-011-SKU,290,available,1.5
Surgical Supplies,Portable Monitor X-012,portable-monitor-x-012,https://images.unsplash.com/photo-1581594693702-fbdc51b2ad46?auto=format&fit=crop&q=80&w=800,"Fast delivery
Quality certified
Warranty 1 year",This Portable Monitor X-012 is designed for high performance in surgical supplies applications.,"Model: JKR-012
Power: 220V
Material: High Grade",2070,1759.5,TRUE,Standard,JKR-012-SKU,406,available,1.5
Home Care,Digital Ventilator X-013,digital-ventilator-x-013,https://images.unsplash.com/photo-1582719478250-c89cae4dc85b?auto=format&fit=crop&q=80&w=800,"Fast delivery
Quality certified
Warranty 1 year",This Digital Ventilator X-013 is designed for high performance in home care applications.,"Model: JKR-013
Power: 220V
Material: High Grade",4369,3713.65,TRUE,Standard,JKR-013-SKU,364,available,1.5
Diagnostic Tools,Premium Gloves X-014,premium-gloves-x-014,https://images.unsplash.com/photo-1516549655169-df83a0774514?auto=format&fit=crop&q=80&w=800,"Fast delivery
Quality certified
Warranty 1 year",This Premium Gloves X-014 is designed for high performance in diagnostic tools applications.,"Model: JKR-014
Power: 220V
Material: High Grade",2182,1854.7,TRUE,Standard,JKR-014-SKU,165,available,1.5
Home Care,Handheld Meter X-015,handheld-meter-x-015,https://images.unsplash.com/photo-1631815541542-e5510659359e?auto=format&fit=crop&q=80&w=800,"Fast delivery
Quality certified
Warranty 1 year",This Handheld Meter X-015 is designed for high performance in home care applications.,"Model: JKR-015
Power: 220V
Material: High Grade",3717,3159.45,TRUE,Standard,JKR-015-SKU,98,available,1.5
Home Care,Portable Scale X-016,portable-scale-x-016,https://images.unsplash.com/photo-1584308666744-24d5c474f2ae?auto=format&fit=crop&q=80&w=800,"Fast delivery
Quality certified
Warranty 1 year",This Portable Scale X-016 is designed for high performance in home care applications.,"Model: JKR-016
Power: 220V
Material: High Grade",4290,3646.5,TRUE,Standard,JKR-016-SKU,322,available,1.5
Laboratory,Compact Gloves X-017,compact-gloves-x-017,https://images.unsplash.com/photo-1550624559-4bae04422ddc?auto=format&fit=crop&q=80&w=800,"Fast delivery
Quality certified
Warranty 1 year",This Compact Gloves X-017 is designed for high performance in laboratory applications.,"Model: JKR-017
Power: 220V
Material: High Grade",1928,1638.8,TRUE,Standard,JKR-017-SKU,116,available,1.5
Medical Equipment,Advanced Ventilator X-018,advanced-ventilator-x-018,https://images.unsplash.com/photo-1631549916768-4119cb21fa04?auto=format&fit=crop&q=80&w=800,"Fast delivery
Quality certified
Warranty 1 year",This Advanced Ventilator X-018 is designed for high performance in medical equipment applications.,"Model: JKR-018
Power: 220V
Material: High Grade",293,249.05,TRUE,Standard,JKR-018-SKU,445,available,1.5
