category,category_image_url,name,slug,image_url,gallery_image_urls,features,overview,technical_info,regular_price,sale_price,is_active,meta_title,meta_description,meta_keywords,sku_title,sku_id,sku_quantity,sku_shipping_status,sku_weight
Surgical Supplies,https://images.unsplash.com/photo-1581594693702-fbdc51b2ad46?auto=format&fit=crop&q=80&w=600,JKR Ultra Inhaler Model-0001,jkr-jkr-ultra-inhaler-model-0001-1,https://images.unsplash.com/photo-1516549655169-df83a0774514?auto=format&fit=crop&q=80&w=800,"https://images.unsplash.com/photo-1576091160550-217359f4ecf8?auto=format&fit=crop&q=80&w=800,https://images.unsplash.com/photo-1550624559-4bae04422ddc?auto=format&fit=crop&q=80&w=800,https://images.unsplash.com/photo-1631549916768-4119cb21fa04?auto=format&fit=crop&q=80&w=800","CE Certified
ISO Standard
High Durability","The JKR Ultra Inhaler Model-0001 represents the pinnacle of Surgical Supplies technology, offering unmatched reliability.","Dimensions: 81x29cm
Voltage: 110-240V
Warranty: 2 Years",9940,8946.0,TRUE,JKR Ultra Inhaler Model-0001 | Buy Professional Inhaler Online,Looking for JKR Ultra Inhaler Model-0001? We offer the best prices on Surgical Supplies in the UAE. Fast delivery and warranty included.,"Surgical Supplies, Inhaler, JKR International, Buy Online",Standard Package,JKR-PROD-0001-SKU,293,available,2.5
Surgical Supplies,https://images.unsplash.com/photo-1581594693702-fbdc51b2ad46?auto=format&fit=crop&q=80&w=600,JKR Smart Sterilizer Model-0002,jkr-jkr-smart-sterilizer-model-0002-2,https://images.unsplash.com/photo-1584036561566-baf8f5f1b144?auto=format&fit=crop&q=80&w=800,"https://images.unsplash.com/photo-1612349317150-e413f289d05e?auto=format&fit=crop&q=80&w=800,https://images.unsplash.com/photo-1584308666744-24d5c474f2ae?auto=format&fit=crop&q=80&w=800,https://images.unsplash.com/photo-1584036561566-baf8f5f1b144?auto=format&fit=crop&q=80&w=800","CE Certified
ISO Standard
High Durability","The JKR Smart Sterilizer Model-0002 represents the pinnacle of Surgical Supplies technology, offering unmatched reliability.","Dimensions: 33x68cm
Voltage: 110-240V
Warranty: 2 Years",8207,7386.3,TRUE,JKR Smart Sterilizer Model-0002 | Buy Professional Sterilizer Online,Looking for JKR Smart Sterilizer Model-0002? We offer the best prices on Surgical Supplies in the UAE. Fast delivery and warranty included.,"Surgical Supplies, Sterilizer, JKR International, Buy Online",Standard Package,JKR-PROD-0002-SKU,249,available,2.5
Surgical Supplies,https://images.unsplash.com/photo-1581594693702-fbdc51b2ad46?auto=format&fit=crop&q=80&w=600,JKR Elite Analyzer Model-0003,jkr-jkr-elite-analyzer-model-0003-3,https://images.unsplash.com/photo-1612349317150-e413f289d05e?auto=format&fit=crop&q=80&w=800,"https://images.unsplash.com/photo-1581594693702-fbdc51b2ad46?auto=format&fit=crop&q=80&w=800,https://images.unsplash.com/photo-1581594693702-fbdc51b2ad46?auto=format&fit=crop&q=80&w=800","CE Certified
ISO Standard
High Durability","The JKR Elite Analyzer Model-0003 represents the pinnacle of Surgical Supplies technology, offering unmatched reliability.","Dimensions: 90x53cm
Voltage: 110-240V
Warranty: 2 Years",4771,4293.9,TRUE,JKR Elite Analyzer Model-0003 | Buy Professional Analyzer Online,Looking for JKR Elite Analyzer Model-0003? We offer the best prices on Surgical Supplies in the UAE. Fast delivery and warranty included.,"Surgical Supplies, Analyzer, JKR International, Buy Online",Standard Package,JKR-PROD-0003-SKU,756,available,2.5
Medical Equipment,https://images.unsplash.com/photo-1516549655169-df83a0774514?auto=format&fit=crop&q=80&w=600,JKR Elite Light Model-0004,jkr-jkr-elite-light-model-0004-4,https://images.unsplash.com/photo-1631815541542-e5510659359e?auto=format&fit=crop&q=80&w=800,"https://images.unsplash.com/photo-1516549655169-df83a0774514?auto=format&fit=crop&q=80&w=800,https://images.unsplash.com/photo-1516549655169-df83a0774514?auto=format&fit=crop&q=80&w=800,https://images.unsplash.com/photo-1631549916768-4119cb21fa04?auto=format&fit=crop&q=80&w=800","CE Certified
ISO Standard
High Durability","The JKR Elite Light Model-0004 represents the pinnacle of Medical Equipment technology, offering unmatched reliability.","Dimensions: 80x33cm
Voltage: 110-240V
Warranty: 2 Years",6659,5993.1,TRUE,JKR Elite Light Model-0004 | Buy Professional Light Online,Looking for JKR Elite Light Model-0004? We offer the best prices on Medical Equipment in the UAE. Fast delivery and warranty included.,"Medical Equipment, Light, JKR International, Buy Online",Standard Package,JKR-PROD-0004-SKU,694,available,2.5
Laboratory,https://images.unsplash.com/photo-1612349317150-e413f289d05e?auto=format&fit=crop&q=80&w=600,JKR Pro Inhaler Model-0005,jkr-jkr-pro-inhaler-model-0005-5,https://images.unsplash.com/photo-1612349317150-e413f289d05e?auto=format&fit=crop&q=80&w=800,"https://images.unsplash.com/photo-1576091160550-217359f4ecf8?auto=format&fit=crop&q=80&w=800,https://images.unsplash.com/photo-1631549916768-4119cb21fa04?auto=format&fit=crop&q=80&w=800","CE Certified
ISO Standard
High Durability","The JKR Pro Inhaler Model-0005 represents the pinnacle of Laboratory technology, offering unmatched reliability.","Dimensions: 78x39cm
Voltage: 110-240V
Warranty: 2 Years",773,695.7,TRUE,JKR Pro Inhaler Model-0005 | Buy Professional Inhaler Online,Looking for JKR Pro Inhaler Model-0005? We offer the best prices on Laboratory in the UAE. Fast delivery and warranty included.,"Laboratory, Inhaler, JKR International, Buy Online",Standard Package,JKR-PROD-0005-SKU,562,available,2.5
Diagnostic Tools,https://images.unsplash.com/photo-1550624559-4bae04422ddc?auto=format&fit=crop&q=80&w=600,JKR Compact Light Model-0006,jkr-jkr-compact-light-model-0006-6,https://images.unsplash.com/photo-1584308666744-24d5c474f2ae?auto=format&fit=crop&q=80&w=800,"https://images.unsplash.com/photo-1576091160550-217359f4ecf8?auto=format&fit=crop&q=80&w=800,https://images.unsplash.com/photo-1516549655169-df83a0774514?auto=format&fit=crop&q=80&w=800","CE Certified
ISO Standard
High Durability","The JKR Compact Light Model-0006 represents the pinnacle of Diagnostic Tools technology, offering unmatched reliability.","Dimensions: 78x91cm
Voltage: 110-240V
Warranty: 2 Years",6474,5826.6,TRUE,JKR Compact Light Model-0006 | Buy Professional Light Online,Looking for JKR Compact Light Model-0006? We offer the best prices on Diagnostic Tools in the UAE. Fast delivery and warranty included.,"Diagnostic Tools, Light, JKR International, Buy Online",Standard Package,JKR-PROD-0006-SKU,832,available,2.5
Surgical Supplies,https://images.unsplash.com/photo-1581594693702-fbdc51b2ad46?auto=format&fit=crop&q=80&w=600,JKR Precision Sterilizer Model-0007,jkr-jkr-precision-sterilizer-model-0007-7,https://images.unsplash.com/photo-1582719478250-c89cae4dc85b?auto=format&fit=crop&q=80&w=800,"https://images.unsplash.com/photo-1550624559-4bae04422ddc?auto=format&fit=crop&q=80&w=800,https://images.unsplash.com/photo-1516549655169-df83a0774514?auto=format&fit=crop&q=80&w=800","CE Certified
ISO Standard
High Durability","The JKR Precision Sterilizer Model-0007 represents the pinnacle of Surgical Supplies technology, offering unmatched reliability.","Dimensions: 32x28cm
Voltage: 110-240V
Warranty: 2 Years",2862,2575.8,TRUE,JKR Precision Sterilizer Model-0007 | Buy Professional Sterilizer Online,Looking for JKR Precision Sterilizer Model-0007? We offer the best prices on Surgical Supplies in the UAE. Fast delivery and warranty included.,"Surgical Supplies, Sterilizer, JKR International, Buy Online",Standard Package,JKR-PROD-0007-SKU,435,available,2.5
Diagnostic Tools,https://images.unsplash.com/photo-1550624559-4bae04422ddc?auto=format&fit=crop&q=80&w=600,JKR Elite Compressor Model-0008,jkr-jkr-elite-compressor-model-0008-8,https://images.unsplash.com/photo-1550624559-4bae04422ddc?auto=format&fit=crop&q=80&w=800,"https://images.unsplash.com/photo-1581594693702-fbdc51b2ad46?auto=format&fit=crop&q=80&w=800,https://images.unsplash.com/photo-1582719478250-c89cae4dc85b?auto=format&fit=crop&q=80&w=800,https://images.unsplash.com/photo-1584308666744-24d5c474f2ae?auto=format&fit=crop&q=80&w=800","CE Certified
ISO Standard
High Durability","The JKR Elite Compressor Model-0008 represents the pinnacle of Diagnostic Tools technology, offering unmatched reliability.","Dimensions: 80x36cm
Voltage: 110-240V
Warranty: 2 Years",2535,2281.5,TRUE,JKR Elite Compressor Model-0008 | Buy Professional Compressor Online,Looking for JKR Elite Compressor Model-0008? We offer the best prices on Diagnostic Tools in the UAE. Fast delivery and warranty included.,"Diagnostic Tools, Compressor, JKR International, Buy Online",Standard Package,JKR-PROD-0008-SKU,666,available,2.5
Laboratory,https://images.unsplash.com/photo-1612349317150-e413f289d05e?auto=format&fit=crop&q=80&w=600,JKR Precision Light Model-0009,jkr-jkr-precision-light-model-0009-9,https://images.unsplash.com/photo-1550624559-4bae04422ddc?auto=format&fit=crop&q=80&w=800,"https://images.unsplash.com/photo-1516549655169-df83a0774514?auto=format&fit=crop&q=80&w=800,https://images.unsplash.com/photo-1584308666744-24d5c474f2ae?auto=format&fit=crop&q=80&w=800,https://images.unsplash.com/photo-1576091160550-217359f4ecf8?auto=format&fit=crop&q=80&w=800","CE Certified
ISO Standard
High Durability","The JKR Precision Light Model-0009 represents the pinnacle of Laboratory technology, offering unmatched reliability.","Dimensions: 35x75cm
Voltage: 110-240V
Warranty: 2 Years",6732,6058.8,TRUE,JKR Precision Light Model-0009 | Buy Professional Light Online,Looking for JKR Precision Light Model-0009? We offer the best prices on Laboratory in the UAE. Fast delivery and warranty included.,"Laboratory, Light, JKR International, Buy Online",Standard Package,JKR-PROD-0009-SKU,794,available,2.5
Consumables,https://images.unsplash.com/photo-1584036561566-baf8f5f1b144?auto=format&fit=crop&q=80&w=600,JKR Eco Light Model-0010,jkr-jkr-eco-light-model-0010-10,https://images.unsplash.com/photo-1576091160550-217359f4ecf8?auto=format&fit=crop&q=80&w=800,"https://images.unsplash.com/photo-1516549655169-df83a0774514?auto=format&fit=crop&q=80&w=800,https://images.unsplash.com/photo-1516549655169-df83a0774514?auto=format&fit=crop&q=80&w=800,https://images.unsplash.com/photo-1516549655169-df83a0774514?auto=format&fit=crop&q=80&w=800","CE Certified
ISO Standard
High Durability","The JKR Eco Light Model-0010 represents the pinnacle of Consumables technology, offering unmatched reliability.","Dimensions: 51x73cm
Voltage: 110-240V
Warranty: 2 Years",2488,2239.2,TRUE,JKR Eco Light Model-0010 | Buy Professional Light Online,Looking for JKR Eco Light Model-0010? We offer the best prices on Consumables in the UAE. Fast delivery and warranty included.,"Consumables, Light, JKR International, Buy Online",Standard Package,JKR-PROD-0010-SKU,438,available,2.5
